Time [h],Current [A],Terminal voltage [V],Discharge capacity [A.h],Volume-averaged cell temperature [K],Actual resistance [Ohm]
0.0,2.3,4.1640455617797665,0.0,297.2909077,1.8104545920781594
0.00020002000200020003,2.3,4.162230003342041,0.0004600460046004599,297.2909077,1.809665218844366
0.00040004000400040005,2.3,4.160802701166337,0.0009200920092009198,297.2909077,1.8090446526810162
0.0006000600060006001,2.3,4.1596239345959685,0.0013801380138013797,297.2909077,1.8085321454765082
0.0008000800080008001,2.3,4.158609920355504,0.00184018401840184,297.2909077,1.8080912697197844
0.0010001000100010003,2.3,4.157715291905873,0.0023002300230023005,297.2909077,1.8077023008286408
0.0012001200120012002,2.3,4.156909723039603,0.0027602760276027607,297.2909077,1.8073520534954797
0.0014001400140014003,2.3,4.15617324785283,0.003220322032203221,297.2909077,1.8070318468925348
0.0016001600160016002,2.3,4.155492079193811,0.003680368036803681,297.2909077,1.806735686606005
0.0018001800180018003,2.3,4.154856295965669,0.004140414041404141,297.2909077,1.8064592591155086
0.0020002000200020006,2.3,4.154258514051951,0.004600460046004601,297.2909077,1.806199353935631
0.0022002200220022005,2.3,4.153693071771304,0.005060506050605062,297.2909077,1.8059535094657846
0.0024002400240024004,2.3,4.1531555184098865,0.005520552055205522,297.2909077,1.8057197906129943
0.0026002600260026003,2.3,4.152643453768463,0.005980598059805983,297.2909077,1.8054971538123754
0.0028002800280028006,2.3,4.152152591060634,0.006440644064406443,297.2909077,1.805283735243754
0.0030003000300030005,2.3,4.151680496675045,0.006900690069006904,297.2909077,1.805078476815237
0.0032003200320032004,2.3,4.151225058565296,0.007360736073607363,297.2909077,1.8048804602457809
0.0034003400340034003,2.3,4.150784616176184,0.007820782078207822,297.2909077,1.8046889635548626
0.0036003600360036006,2.3,4.150357742751222,0.008280828082808282,297.2909077,1.8045033664135748
0.0038003800380038005,2.3,4.149943203572529,0.008740874087408741,297.2909077,1.8043231319880562
0.004000400040004001,2.3,4.149539923309862,0.0092009200920092,297.2909077,1.8041477927434184
0.004200420042004201,2.3,4.149146960139506,0.00966096609660966,297.2909077,1.8039769391910896
0.004400440044004401,2.3,4.148763484975042,0.010121012101210119,297.2909077,1.8038102108587142
0.004600460046004601,2.3,4.148388764616274,0.010581058105810578,297.2909077,1.8036472889635975
0.004800480048004801,2.3,4.148022147937327,0.011041104110411037,297.2909077,1.8034878904075338
0.005000500050005001,2.3,4.147663064056781,0.011501150115011497,297.2909077,1.8033317669812092
0.005200520052005201,2.3,4.147310961511311,0.011961196119611956,297.2909077,1.8031786789179614
0.0054005400540054005,2.3,4.146965373989282,0.012421242124212415,297.2909077,1.803028423473601
0.005600560056005601,2.3,4.146625881355828,0.012881288128812875,297.2909077,1.8028808179807947
0.005800580058005801,2.3,4.146292094444529,0.013341334133413334,297.2909077,1.802735693236752
0.006000600060006001,2.3,4.145963689117408,0.013801380138013793,297.2909077,1.8025929083119165
0.006200620062006201,2.3,4.145640342307429,0.014261426142614253,297.2909077,1.8024523227423606
0.006400640064006401,2.3,4.14532176927791,0.014721472147214712,297.2909077,1.8023138127295262
0.006600660066006601,2.3,4.1450077100124005,0.015181518151815171,297.2909077,1.802177265222783
0.006800680068006801,2.3,4.144697926506096,0.01564156415641563,297.2909077,1.802042576741781
0.0070007000700070005,2.3,4.144392200404606,0.016101610161016088,297.2909077,1.8019096523498286
0.007200720072007201,2.3,4.144090330939157,0.016561656165616546,297.2909077,1.8017784047561554
0.007400740074007401,2.3,4.143792133115728,0.017021702170217003,297.2909077,1.8016487535285775
0.007600760076007601,2.3,4.143497436122591,0.01748174817481746,297.2909077,1.8015206244011268
0.007800780078007801,2.3,4.143206081926341,0.01794179417941792,297.2909077,1.8013939486636268
0.008000800080008003,2.3,4.142917924031097,0.018401840184018376,297.2909077,1.801268662622216
0.008200820082008202,2.3,4.142632826379402,0.018861886188618834,297.2909077,1.8011447071214792
0.008400840084008402,2.3,4.142350662376541,0.01932193219321929,297.2909077,1.8010220271202353
0.008600860086008601,2.3,4.142071314022586,0.01978197819781975,297.2909077,1.8009005713141681
0.008800880088008802,2.3,4.141794671138734,0.020242024202420206,297.2909077,1.8007802917994498
0.009000900090009001,2.3,4.141520630676392,0.020702070207020664,297.2909077,1.8006611437723443
0.009200920092009202,2.3,4.1412490960989725,0.02116211621162112,297.2909077,1.800543085260423
0.009400940094009401,2.3,4.140979976827776,0.02162216221622158,297.2909077,1.8004260768816418
0.009600960096009602,2.3,4.14071318774444,0.022082208220822037,297.2909077,1.8003100816280178
0.009800980098009802,2.3,4.14044864874342,0.022542254225422494,297.2909077,1.8001950646710523
0.010001000100010001,2.3,4.140186284328778,0.023002300230022952,297.2909077,1.8000809931864254
0.010201020102010202,2.3,4.139926023250332,0.02346234623462341,297.2909077,1.7999678361957967
0.010401040104010401,2.3,4.139667798174768,0.023922392239223867,297.2909077,1.7998555644238123
0.010601060106010602,2.3,4.139411545387904,0.024382438243824325,297.2909077,1.799744150168654
0.010801080108010801,2.3,4.139157204524722,0.024842484248424782,297.2909077,1.7996335671846617
0.011001100110011002,2.3,4.138904718324223,0.02530253025302524,297.2909077,1.7995237905757495
0.011201120112011203,2.3,4.138654032406474,0.025762576257625697,297.2909077,1.799414796698467
0.011401140114011402,2.3,4.138405095069531,0.026222622262226155,297.2909077,1.799306563073709
0.011601160116011602,2.3,4.138157857104217,0.026682668266826613,297.2909077,1.7991990683061811
0.011801180118011801,2.3,4.137912271624909,0.02714271427142707,297.2909077,1.7990922920108303
