Time [h],Current [A],Terminal voltage [V],Discharge capacity [A.h],Volume-averaged cell temperature [K]
0.0,9.0,4.093774550348554,0.0,296.15
3.308864419975531e-05,9.0,4.093330033332942,0.0002977977977977978,296.1558838372882
6.617728839951063e-05,9.0,4.092895499300319,0.0005955955955955955,296.1616872704189
9.926593259926593e-05,9.0,4.092470834821683,0.0008933933933933933,296.1674151881172
0.00013235457679902125,9.0,4.092055866808767,0.0011911911911911912,296.1730719814241
0.00016544322099877655,9.0,4.091650377176168,0.001488988988988989,296.1786616001171
0.00019853186519853185,9.0,4.09125411555746,0.0017867867867867866,296.1841876024534
0.00023162050939828718,9.0,4.090866809301807,0.0020845845845845843,296.1896531990706
0.0002647091535980425,9.0,4.090488171320759,0.002382382382382382,296.195061291745
0.0002977977977977978,9.0,4.090117906230111,0.0026801801801801793,296.2004145076237
0.0003308864419975531,9.0,4.089755715136105,0.0029779779779779765,296.205715229473
0.0003639750861973084,9.0,4.089401299341819,0.0032757757757757738,296.210965622419
0.0003970637303970637,9.0,4.089054363192431,0.0035735735735735723,296.21616765759757
0.000430152374596819,9.0,4.088714616233412,0.0038713713713713696,296.2213231330811
0.00046324101879657436,9.0,4.088381774820352,0.004169169169169169,296.22643369240456
0.0004963296629963296,9.0,4.088056039414392,0.004466966966966967,296.23149836050527
0.000529418307196085,9.0,4.08773662278087,0.004764764764764766,296.23652114544075
0.0005625069513958403,9.0,4.087423271132542,0.005062562562562562,296.24150330148285
0.0005955955955955956,9.0,4.087115740090786,0.0053603603603603585,296.24644598593153
0.0006286842397953508,9.0,4.086813794858674,0.005658158158158155,296.251350268952
0.0006617728839951062,9.0,4.086516157159403,0.005955955955955954,296.256223116179
0.0006948615281948615,9.0,4.086223758143369,0.00625375375375375,296.26105919339136
0.0007279501723946168,9.0,4.085936383729033,0.006551551551551547,296.2658593868232
0.0007610388165943721,9.0,4.085653829659944,0.006849349349349343,296.27062452147754
0.0007941274607941274,9.0,4.085375901210552,0.007147147147147142,296.27535536713486
0.0008272161049938827,9.0,4.085102412860788,0.0074449449449449385,296.2800526436984
0.000860304749193638,9.0,4.084833187950083,0.007742742742742735,296.2847170259536
0.0008933933933933934,9.0,4.08456805831891,0.008040540540540533,296.28934914780893
0.0009264820375931487,9.0,4.084306863944688,0.00833833833833833,296.2939496060783
0.0009595706817929039,9.0,4.084049452576819,0.008636136136136128,296.29851896385753
0.0009926593259926592,9.0,4.083795679375234,0.008933933933933925,296.3030577535416
0.0010257479701924147,9.0,4.083545406555231,0.009231731731731724,296.307566479523
0.00105883661439217,9.0,4.083298503041036,0.009529529529529523,296.3120456206078
0.001091925258591925,9.0,4.083054844129759,0.009827327327327322,296.31649563218133
0.0011250139027916806,9.0,4.082814311166909,0.01012512512512512,296.3209169481515
0.0011581025469914357,9.0,4.082576791234409,0.01042292292292292,296.32530998269414
0.0011911911911911912,9.0,4.082342176851455,0.010720720720720719,296.3296751318235
0.0012242798353909465,9.0,4.082110365688532,0.011018518518518518,296.33401277480584
0.0012573684795907016,9.0,4.081881260294761,0.011316316316316313,296.33832327543456
0.0012904571237904571,9.0,4.081654767838206,0.011614114114114112,296.342606983181
0.0013235457679902124,9.0,4.0814307998592545,0.011911911911911911,296.34686423423545
0.0013566344121899677,9.0,4.081209272036473,0.01220970970970971,296.35109535244897
0.001389723056389723,9.0,4.080990103964773,0.01250750750750751,296.3553006501877
0.0014228117005894783,9.0,4.080773218945332,0.012805305305305308,296.3594804291084
0.0014559003447892336,9.0,4.080558543786919,0.013103103103103107,296.3636349808636
0.001488988988988989,9.0,4.08034600861806,0.013400900900900906,296.3677645877437
0.0015220776331887442,9.0,4.080135546709585,0.013698698698698705,296.3718695232628
0.0015551662773884995,9.0,4.07992709430718,0.013996496496496504,296.37595005269367
0.0015882549215882548,9.0,4.079720590473203,0.014294294294294303,296.38000643355707
0.0016213435657880101,9.0,4.0795159769375795,0.014592092092092099,296.3840389160705
0.0016544322099877654,9.0,4.079313197957097,0.014889889889889898,296.38804774355975
0.001687520854187521,9.0,4.0791122001827285,0.015187687687687697,296.39203315283726
0.001720609498387276,9.0,4.078912932534556,0.015485485485485496,296.3959953745507
0.0017536981425870313,9.0,4.078715346083826,0.015783283283283298,296.3999346335043
0.0017867867867867868,9.0,4.078519393941768,0.016081081081081097,296.4038511489556
0.001819875430986542,9.0,4.078325031154788,0.016378878878878896,296.4077451348901
0.0018529640751862974,9.0,4.078132214605618,0.016676676676676695,296.41161680027574
0.0018860527193860527,9.0,4.077940902920176,0.016974474474474494,296.41546634929915
0.0019191413635858078,9.0,4.077751056379682,0.017272272272272293,296.41929398158504
0.001952230007785563,9.0,4.077562636837818,0.017570070070070092,296.42309989240084
0.0019853186519853184,9.0,4.077375607642546,0.01786786786786789,296.426884272847
0.002018407296185074,9.0,4.077189933562395,0.018165665665665694,296.4306473100351
0.0020514959403848294,9.0,4.077005580716882,0.018463463463463493,296.43438918725417
0.0020845845845845843,9.0,4.076822516510841,0.01876126126126129,296.43811008412666
0.00211767322878434,9.0,4.076640709572448,0.019059059059059094,296.4418101767544
0.0021507618729840953,9.0,4.076460129694636,0.019356856856856893,296.445489637856
0.00218385051718385,9.0,4.0762807477798875,0.019654654654654692,296.4491486368957
0.0022169391613836055,9.0,4.076102535787907,0.01995245245245249,296.45278734020513
0.0022500278055833612,9.0,4.0759254666862885,0.020250250250250294,296.4564059110976
0.0022831164497831165,9.0,4.075749723337905,0.020548048048048093,296.46000128692566
0.0023162050939828714,9.0,4.075575062276235,0.02084584584584589,296.463576897862
